distance, ty, rpm, hood pos 

Recorded 2/28
3.576, -1.45, , 2800, 35
4.559,  -8.60, 3270, 35
2.901, 4.81, 2500, 35
5.974, -13.6, 3850, ~50

Recorded 3/5
3.12, 0.5 2500, 35
5.6, -15.65, 3075, 70

Recorded 3/7
2.3, 14.39, 2150, 25
2.65, 8.05, 2400, 25
3.1, 3.22, 2900, 25

Recorded 3/11
3, 2.75, 2300, 50
3.2, 0.3, 2400, 50
3.4, -1.50, 2450, 50
3.55, -2.88, 2500, 50
3.715, -4.17, 2550, 50
3.9, -5.51, 2600, 50
4.07, -7.03, 2675, 50


3.3, -.77, 2450, 65
3.7, -4.55, 2500, 65
4.12, -8, 2600, 65
4.36, -9.35, 2700, 65
4.74, -11.81, 2800, 65

